id,state,regional_unemployment_rate,regional_median_income,regional_median_rent,housing_price_index,cost_of_living_index,previous_zip_code
10052,TX,4.4,61000,1430.0,107.0,88.0,282
10053,WI,4.2,60000,1590.0,101.0,82.0,365
10054,IN,4.4,55000,1290.0,96.0,74.0,101
10055,WA,5.5,78000,1690.0,162.0,135.0,704
10056,NC,4.2,54000,1380.0,116.0,92.0,513
10057,TN,4.4,53000,1120.0,107.0,84.0,991
10058,NY,5.3,72000,1850.0,138.0,108.0,202
10059,GA,3.6,58000,1340.0,107.0,90.0,382
10060,MD,4.1,84000,2250.0,134.0,121.0,392
10061,CA,5.0,75000,1730.0,160.0,121.0,642
10062,CA,5.5,75000,1730.0,157.0,123.0,989
10063,VA,4.4,74000,1880.0,128.0,112.0,836
10064,FL,4.8,55000,1300.0,116.0,90.0,143
10065,OH,5.0,56000,1440.0,91.0,79.0,512
10066,TX,4.5,61000,1790.0,103.0,84.0,790
10067,TX,4.1,61000,1450.0,107.0,88.0,200
10068,IL,5.7,65000,1670.0,95.0,76.0,753
10069,IN,4.3,55000,1440.0,89.0,88.0,582
10070,WA,4.8,78000,1620.0,154.0,130.0,232
10071,FL,5.3,55000,1440.0,114.0,90.0,116
10072,CA,6.0,75000,1570.0,157.0,127.0,785
10073,MD,4.7,84000,1970.0,131.0,112.0,495
10074,TX,3.9,61000,1470.0,103.0,77.0,157
10075,CA,5.6,75000,1760.0,158.0,120.0,528
10076,CA,5.6,75000,2070.0,159.0,117.0,922
10077,MI,5.7,57000,1270.0,86.0,70.0,799
10078,CA,5.6,75000,1650.0,160.0,132.0,192
10079,OH,4.5,56000,1270.0,82.0,75.0,719
10080,CA,5.1,75000,1620.0,169.0,128.0,666
10081,CA,5.5,75000,1700.0,166.0,140.0,320
10082,NJ,5.6,82000,1970.0,130.0,109.0,562
10083,IN,4.3,55000,1340.0,91.0,80.0,931
10084,NC,4.1,54000,1250.0,103.0,82.0,755
10085,PA,3.8,61000,1610.0,96.0,85.0,674
10086,MA,4.6,81000,1700.0,139.0,109.0,997
10087,IL,5.2,65000,1530.0,89.0,75.0,766
10088,NY,4.9,72000,1830.0,140.0,113.0,940
10089,IL,5.7,65000,1590.0,98.0,81.0,319
10090,GA,4.4,58000,1320.0,104.0,77.0,705
10091,PA,4.6,61000,1600.0,92.0,79.0,519
10092,PA,3.6,61000,1510.0,104.0,78.0,672
10093,TX,4.1,61000,1370.0,109.0,93.0,985
10094,NY,4.6,72000,1910.0,144.0,112.0,192
10095,MI,5.4,57000,1420.0,93.0,81.0,834
10096,VA,3.4,74000,1650.0,119.0,103.0,179
10097,TN,3.9,53000,1230.0,115.0,78.0,110
10098,WA,5.1,78000,1720.0,149.0,123.0,474
10099,NJ,5.2,82000,2170.0,132.0,109.0,598
10100,IL,5.0,65000,1680.0,91.0,86.0,185
10101,TX,4.2,61000,1510.0,98.0,83.0,325
10102,TX,4.2,61000,1480.0,117.0,104.0,623
10103,TX,4.9,61000,1490.0,97.0,84.0,995
10104,PA,4.6,61000,1530.0,97.0,85.0,334
10105,NJ,4.8,82000,1880.0,133.0,107.0,352
10106,PA,4.4,61000,1640.0,94.0,81.0,624
10107,AZ,4.8,58000,1270.0,110.0,88.0,859
10108,MD,4.6,84000,1970.0,141.0,122.0,627
10109,TX,4.2,61000,1410.0,109.0,93.0,600
10110,IL,5.5,65000,1710.0,91.0,78.0,122
10111,OH,4.9,56000,1310.0,92.0,81.0,363
10112,GA,4.1,58000,1450.0,108.0,89.0,335
10113,GA,4.4,58000,1420.0,104.0,88.0,984
10114,FL,4.4,55000,1330.0,118.0,92.0,510
10115,TN,4.4,53000,1160.0,113.0,90.0,127
10116,MI,5.4,57000,1440.0,94.0,84.0,772
10117,MO,3.8,55000,1490.0,100.0,80.0,546
10118,CA,5.6,75000,1900.0,151.0,128.0,284
10119,MO,4.6,55000,1140.0,103.0,81.0,739
10120,NY,5.1,72000,1690.0,144.0,119.0,498
10121,CA,5.3,75000,1980.0,161.0,126.0,642
10122,TX,4.3,61000,1430.0,103.0,86.0,608
10123,AZ,4.9,58000,1460.0,113.0,102.0,641
10124,CA,5.3,75000,1760.0,165.0,132.0,997
10125,MO,3.7,55000,1340.0,90.0,79.0,248
10126,PA,4.9,61000,1610.0,100.0,81.0,882
10127,OH,4.6,56000,1320.0,99.0,76.0,899
10128,TX,3.9,61000,1330.0,109.0,81.0,942
10129,CA,5.4,75000,1550.0,158.0,125.0,519
10130,VA,3.7,74000,2160.0,119.0,96.0,427
10131,MD,4.1,84000,2240.0,135.0,114.0,755
10132,MO,4.7,55000,1070.0,94.0,80.0,622
10133,MD,5.0,84000,1830.0,130.0,108.0,200
10134,CA,5.1,75000,1470.0,158.0,120.0,501
10135,VA,3.8,74000,1640.0,114.0,88.0,230
10136,CA,5.4,75000,1910.0,153.0,119.0,643
10137,MO,4.2,55000,1280.0,91.0,82.0,755
10138,FL,5.0,55000,1130.0,120.0,93.0,233
10139,CA,5.6,75000,1620.0,162.0,127.0,733
10140,GA,4.0,58000,1480.0,121.0,97.0,701
10141,FL,4.6,55000,1320.0,111.0,88.0,302
10142,TX,4.5,61000,1380.0,112.0,95.0,475
10143,OH,4.9,56000,1310.0,86.0,68.0,349
10144,NY,4.5,72000,1740.0,139.0,105.0,886
10145,NY,5.1,72000,1850.0,147.0,118.0,832
10146,MO,4.1,55000,1270.0,100.0,78.0,462
10147,OH,4.5,56000,1220.0,84.0,82.0,441
10148,FL,4.7,55000,1240.0,118.0,97.0,970
10149,CA,5.7,75000,1790.0,163.0,140.0,858
10150,IL,5.5,65000,1410.0,105.0,88.0,838
10151,CA,5.4,75000,1910.0,158.0,126.0,316
10152,FL,4.4,55000,1370.0,119.0,90.0,822
10153,MA,4.6,81000,1950.0,144.0,117.0,904
10154,TX,4.4,61000,1190.0,111.0,97.0,431
10155,IL,5.7,65000,1750.0,104.0,96.0,284
10156,IN,4.3,55000,1400.0,96.0,83.0,392
10157,FL,4.7,55000,1280.0,119.0,95.0,204
10158,MA,4.2,81000,1830.0,159.0,133.0,642
10159,CA,5.5,75000,1840.0,157.0,126.0,388
10160,NC,4.4,54000,1370.0,112.0,84.0,128
10161,CA,6.0,75000,1750.0,166.0,129.0,684
10162,IN,4.1,55000,1590.0,93.0,84.0,537
10163,WA,4.8,78000,1820.0,154.0,126.0,585
10164,CA,5.7,75000,1850.0,160.0,125.0,101
10165,FL,4.8,55000,1480.0,116.0,86.0,397
10166,FL,4.6,55000,1230.0,114.0,86.0,425
10167,MA,3.9,81000,2100.0,142.0,118.0,859
10168,CA,4.8,75000,1720.0,167.0,126.0,159
10169,NJ,5.2,82000,1970.0,140.0,115.0,754
10170,MI,5.0,57000,1470.0,92.0,74.0,494
10171,IL,4.9,65000,1550.0,112.0,96.0,696
10172,FL,5.0,55000,1250.0,117.0,94.0,238
10173,CA,5.4,75000,1980.0,158.0,127.0,333
10174,CA,5.4,75000,1720.0,159.0,129.0,410
10175,NJ,5.0,82000,1830.0,139.0,117.0,644
10176,NC,4.0,54000,1260.0,115.0,90.0,633
10177,WI,4.7,60000,1420.0,99.0,75.0,883
10178,NY,5.0,72000,1720.0,134.0,110.0,262
10179,CA,5.2,75000,1980.0,156.0,129.0,553
10180,NJ,4.9,82000,2130.0,136.0,119.0,770
10181,VA,3.6,74000,1660.0,127.0,110.0,417
10182,MD,4.2,84000,1940.0,127.0,112.0,769
10183,NY,4.7,72000,1560.0,139.0,113.0,476
10184,VA,3.5,74000,1720.0,128.0,104.0,100
10185,MO,4.0,55000,1400.0,101.0,83.0,314
10186,CA,5.2,75000,1560.0,163.0,134.0,498
10187,OH,4.5,56000,1090.0,94.0,78.0,387
10188,OH,4.0,56000,1380.0,85.0,76.0,353
10189,OH,4.8,56000,1420.0,92.0,74.0,775
10190,CA,5.0,75000,1810.0,160.0,121.0,557
10191,FL,4.8,55000,1390.0,124.0,87.0,333
10192,MI,5.4,57000,1310.0,100.0,81.0,952
10193,NJ,4.7,82000,1820.0,135.0,122.0,380
10194,NC,4.3,54000,1200.0,114.0,93.0,567
10195,WI,4.6,60000,1370.0,101.0,83.0,445
10196,CA,5.6,75000,1860.0,152.0,114.0,678
10197,CA,5.6,75000,1840.0,159.0,128.0,251
10198,CA,5.3,75000,1750.0,155.0,115.0,786
10199,CA,5.2,75000,1730.0,155.0,123.0,583
10200,CA,5.7,75000,1720.0,154.0,122.0,967
10201,PA,4.1,61000,1430.0,93.0,77.0,218
10202,TN,3.6,53000,1310.0,102.0,86.0,470
10203,TX,4.6,61000,1170.0,116.0,98.0,611
10204,PA,4.2,61000,1310.0,95.0,84.0,292
10205,CA,5.3,75000,1670.0,159.0,134.0,410
10206,TX,3.8,61000,1420.0,106.0,76.0,196
10207,FL,4.9,55000,1080.0,109.0,95.0,562
10208,CA,5.4,75000,1710.0,161.0,117.0,185
10209,GA,4.1,58000,1370.0,102.0,77.0,205
10210,FL,5.0,55000,1230.0,120.0,95.0,728
10211,CA,5.7,75000,1730.0,163.0,130.0,124
10212,GA,4.2,58000,1400.0,109.0,85.0,832
10213,VA,3.8,74000,1660.0,134.0,104.0,276
10214,WI,4.4,60000,1350.0,107.0,82.0,759
10215,MI,5.9,57000,1240.0,91.0,72.0,743
10216,NC,4.0,54000,1330.0,117.0,97.0,156
10217,VA,3.8,74000,1930.0,121.0,104.0,493
10218,MI,5.9,57000,1400.0,83.0,76.0,142
10219,FL,5.1,55000,1410.0,112.0,87.0,138
10220,FL,4.7,55000,1180.0,111.0,99.0,217
10221,TX,4.1,61000,1350.0,96.0,80.0,756
10222,CA,5.6,75000,1750.0,164.0,128.0,109
10223,TX,5.0,61000,1420.0,112.0,97.0,591
10224,WI,4.2,60000,1520.0,102.0,87.0,591
10225,WA,4.8,78000,1700.0,147.0,110.0,780
10226,IL,5.4,65000,1380.0,101.0,82.0,224
10227,AZ,4.7,58000,1470.0,106.0,98.0,355
10228,NY,4.7,72000,1880.0,143.0,109.0,994
10229,CA,4.9,75000,2020.0,156.0,123.0,721
10230,OH,4.9,56000,1380.0,88.0,78.0,469
10231,CA,5.3,75000,1810.0,158.0,129.0,448
10232,WA,4.9,78000,1800.0,158.0,125.0,887
10233,VA,3.8,74000,1620.0,117.0,101.0,439
10234,GA,3.5,58000,1450.0,111.0,96.0,471
10235,MD,4.4,84000,2080.0,132.0,111.0,408
10236,MA,4.2,81000,1910.0,142.0,120.0,882
10237,CA,5.5,75000,1780.0,162.0,127.0,300
10238,GA,4.3,58000,1230.0,104.0,87.0,526
10239,IL,5.1,65000,1490.0,97.0,85.0,180
10240,MO,4.1,55000,1410.0,99.0,77.0,559
10241,IL,5.3,65000,1410.0,96.0,83.0,442
10242,GA,4.4,58000,1350.0,110.0,84.0,713
10243,AZ,4.6,58000,1270.0,116.0,89.0,546
10244,FL,4.6,55000,1160.0,114.0,96.0,316
10245,IL,4.7,65000,1570.0,97.0,85.0,619
10246,NY,5.0,72000,1800.0,139.0,111.0,904
10247,NC,4.7,54000,1380.0,109.0,86.0,532
10248,IN,4.1,55000,1150.0,95.0,74.0,450
10249,CA,5.5,75000,1690.0,162.0,128.0,753
10250,CA,5.4,75000,1790.0,163.0,130.0,808
10251,MI,5.0,57000,1350.0,92.0,74.0,570
10252,CA,5.3,75000,1710.0,167.0,131.0,883
10253,NY,4.7,72000,1710.0,138.0,111.0,874
10254,NC,4.1,54000,1150.0,117.0,101.0,496
10255,TX,4.8,61000,1180.0,102.0,86.0,314
10256,IL,5.7,65000,1440.0,96.0,87.0,515
10257,MA,4.5,81000,2330.0,148.0,114.0,228
10258,NC,4.1,54000,1400.0,106.0,75.0,914
10259,PA,4.4,61000,1760.0,102.0,92.0,567
10260,PA,4.4,61000,1460.0,99.0,82.0,967
10261,AZ,4.8,58000,1380.0,113.0,94.0,570
10262,GA,3.9,58000,1320.0,104.0,88.0,188
10263,TX,4.4,61000,1600.0,103.0,85.0,604
10264,OH,4.8,56000,1310.0,87.0,78.0,849
10265,IN,4.5,55000,1240.0,97.0,82.0,639
10266,PA,4.3,61000,1360.0,95.0,83.0,736
10267,NY,5.3,72000,1870.0,133.0,102.0,263
10268,WI,4.1,60000,1470.0,107.0,91.0,344
10269,TX,4.0,61000,1570.0,102.0,82.0,393
10270,TX,4.1,61000,1610.0,116.0,92.0,399
10271,WI,4.0,60000,1430.0,96.0,84.0,318
10272,TX,4.4,61000,1530.0,103.0,93.0,628
10273,TX,4.5,61000,1300.0,110.0,89.0,161
10274,CA,5.9,75000,1980.0,161.0,134.0,368
10275,NJ,5.0,82000,1860.0,141.0,118.0,137
10276,IL,5.0,65000,1640.0,85.0,74.0,654
10277,IN,5.1,55000,1130.0,91.0,74.0,559
10278,VA,4.2,74000,1840.0,128.0,109.0,422
10279,AZ,4.8,58000,1600.0,120.0,94.0,605
10280,NC,4.5,54000,1210.0,112.0,85.0,640
10281,FL,4.6,55000,1390.0,116.0,86.0,996
10282,NJ,4.9,82000,2120.0,135.0,113.0,246
10283,TX,4.5,61000,1480.0,104.0,87.0,330
10284,IL,5.1,65000,1460.0,96.0,77.0,425
10285,WA,4.6,78000,1770.0,157.0,130.0,821
10286,GA,3.8,58000,1510.0,115.0,91.0,736
10287,NC,4.1,54000,1240.0,105.0,93.0,564
10288,OH,4.7,56000,1380.0,90.0,72.0,913
10289,MD,4.0,84000,1980.0,137.0,112.0,842
10290,NY,4.9,72000,1770.0,138.0,115.0,882
10291,MI,5.3,57000,1350.0,92.0,74.0,433
10292,VA,3.7,74000,1580.0,117.0,104.0,295
10293,NC,4.1,54000,1600.0,118.0,86.0,449
10294,WA,4.3,78000,2020.0,153.0,122.0,511
10295,FL,4.8,55000,1460.0,114.0,88.0,318
10296,AZ,4.8,58000,1180.0,123.0,97.0,988
10297,TX,4.3,61000,1210.0,103.0,87.0,143
10298,PA,4.2,61000,1580.0,91.0,73.0,775
10299,NY,5.3,72000,1760.0,141.0,110.0,865
10300,MD,4.7,84000,1880.0,130.0,105.0,465
10301,GA,4.2,58000,1450.0,106.0,92.0,333
10302,NY,5.2,72000,1870.0,146.0,117.0,904
10303,MA,3.9,81000,2010.0,148.0,124.0,670
10304,PA,4.6,61000,1530.0,96.0,80.0,697
10305,IN,4.5,55000,1440.0,93.0,90.0,797
10306,WA,5.2,78000,1890.0,152.0,126.0,105
10307,MD,4.0,84000,2130.0,135.0,105.0,777
10308,NC,4.1,54000,1450.0,114.0,87.0,918
10309,NY,4.8,72000,1870.0,136.0,110.0,189
10310,NY,4.8,72000,1730.0,137.0,111.0,598
10311,NC,4.2,54000,1310.0,110.0,80.0,347
10312,MA,4.6,81000,1930.0,141.0,112.0,569
10313,WI,4.4,60000,1380.0,100.0,78.0,534
10314,WA,4.6,78000,1650.0,151.0,110.0,285
10315,CA,5.5,75000,1960.0,160.0,126.0,641
10316,CA,5.8,75000,1690.0,158.0,113.0,157
10317,MO,4.2,55000,1410.0,92.0,73.0,903
10318,GA,4.0,58000,1170.0,103.0,87.0,830
10319,MO,4.0,55000,1110.0,96.0,80.0,989
10320,GA,3.9,58000,1260.0,111.0,95.0,589
10321,GA,4.1,58000,1380.0,104.0,90.0,839
10322,CA,5.1,75000,1750.0,149.0,125.0,604
10323,TN,4.5,53000,1000.0,102.0,84.0,802
10324,TX,3.9,61000,1350.0,105.0,91.0,855
10325,TX,4.2,61000,1520.0,115.0,97.0,905
10326,NY,5.0,72000,1770.0,140.0,102.0,223
10327,IL,5.2,65000,1880.0,96.0,87.0,494
10328,CA,5.2,75000,1840.0,163.0,124.0,390
10329,WA,4.8,78000,1800.0,158.0,122.0,554
10330,PA,4.2,61000,1240.0,95.0,87.0,421
10331,PA,4.7,61000,1470.0,98.0,84.0,871
10332,CA,5.9,75000,1840.0,153.0,132.0,573
10333,NY,5.0,72000,2060.0,142.0,108.0,144
10334,CA,6.2,75000,1770.0,157.0,121.0,344
10335,IL,5.1,65000,1460.0,110.0,95.0,926
10336,PA,4.5,61000,1470.0,93.0,82.0,685
10337,NY,5.0,72000,1670.0,143.0,110.0,759
10338,VA,3.5,74000,1590.0,124.0,104.0,585
10339,MO,3.6,55000,1350.0,95.0,82.0,649
10340,MO,4.6,55000,1400.0,91.0,81.0,436
10341,NY,5.1,72000,1670.0,131.0,108.0,470
10342,NY,4.9,72000,1590.0,150.0,115.0,571
10343,GA,4.0,58000,1570.0,100.0,77.0,407
10344,NJ,5.0,82000,1840.0,127.0,111.0,555
10345,CA,5.7,75000,1890.0,158.0,130.0,461
10346,OH,4.6,56000,1420.0,91.0,80.0,462
10347,IL,5.0,65000,1500.0,101.0,79.0,110
10348,TX,4.3,61000,1430.0,99.0,79.0,129
10349,NY,4.9,72000,1850.0,141.0,122.0,874
10350,CA,5.2,75000,1680.0,156.0,126.0,375
10351,NY,4.7,72000,1790.0,139.0,113.0,121
10352,NY,4.8,72000,2210.0,139.0,115.0,607
10353,MI,5.8,57000,1440.0,98.0,85.0,510
10354,VA,3.9,74000,1700.0,125.0,118.0,759
10355,GA,4.2,58000,1370.0,107.0,84.0,974
10356,MO,4.0,55000,1390.0,99.0,81.0,192
10357,NC,4.4,54000,1260.0,90.0,73.0,803
10358,WA,4.8,78000,1780.0,152.0,134.0,389
10359,MO,4.2,55000,1390.0,105.0,83.0,932
10360,MA,4.3,81000,1740.0,144.0,120.0,738
10361,PA,4.6,61000,1550.0,93.0,82.0,418
10362,WI,4.0,60000,1410.0,103.0,88.0,715
10363,IL,5.6,65000,1570.0,101.0,83.0,614
10364,CA,5.3,75000,1910.0,160.0,129.0,860
10365,CA,5.1,75000,1690.0,158.0,120.0,388
10366,TX,4.1,61000,1480.0,100.0,82.0,594
10367,TN,3.6,53000,1250.0,103.0,84.0,473
10368,PA,4.1,61000,1520.0,89.0,72.0,572
10369,TX,4.5,61000,1570.0,102.0,89.0,100
10370,NC,3.4,54000,1070.0,115.0,94.0,902
10371,WI,4.2,60000,1230.0,100.0,84.0,696
10372,WA,4.7,78000,1870.0,151.0,116.0,967
10373,MI,5.5,57000,1180.0,95.0,91.0,644
10374,MA,4.4,81000,2140.0,151.0,134.0,744
10375,CA,5.0,75000,1760.0,158.0,118.0,246
10376,AZ,4.9,58000,1320.0,118.0,92.0,969
10377,MD,4.4,84000,1820.0,134.0,122.0,994
10378,MD,3.9,84000,1990.0,130.0,115.0,598
10379,MA,4.1,81000,1960.0,144.0,112.0,114
10380,NY,4.8,72000,1570.0,133.0,113.0,174
10381,TX,4.4,61000,1530.0,120.0,97.0,727
10382,MD,4.4,84000,2220.0,133.0,108.0,689
10383,OH,4.9,56000,1350.0,82.0,68.0,188
10384,MI,5.3,57000,1180.0,92.0,69.0,610
10385,FL,5.2,55000,1290.0,117.0,91.0,667
10386,GA,4.3,58000,1400.0,105.0,91.0,830
10387,NJ,5.0,82000,2000.0,136.0,115.0,126
10388,VA,4.4,74000,2110.0,125.0,107.0,434
10389,PA,4.7,61000,1650.0,98.0,80.0,510
10390,PA,4.3,61000,1470.0,105.0,92.0,351
10391,TN,3.3,53000,1230.0,103.0,90.0,318
10392,CA,5.8,75000,2010.0,168.0,130.0,191
10393,FL,4.7,55000,1360.0,109.0,92.0,277
10394,IL,5.5,65000,1400.0,99.0,82.0,162
10395,GA,3.7,58000,1180.0,107.0,94.0,379
10396,WA,4.7,78000,1900.0,162.0,133.0,384
10397,CA,5.3,75000,1550.0,161.0,128.0,932
10398,NY,5.5,72000,1780.0,141.0,110.0,769
10399,NJ,5.1,82000,1960.0,139.0,119.0,433
10400,NC,4.5,54000,1270.0,101.0,78.0,708
10401,MI,5.4,57000,1400.0,92.0,81.0,254
10402,GA,4.2,58000,1330.0,102.0,81.0,633
10403,MO,4.5,55000,1280.0,99.0,88.0,170
10404,WI,3.6,60000,1560.0,103.0,96.0,947
10405,NC,4.2,54000,1380.0,94.0,71.0,462
10406,IL,5.2,65000,1320.0,108.0,96.0,500
10407,PA,5.1,61000,1340.0,98.0,87.0,117
10408,CA,5.5,75000,1890.0,157.0,128.0,865
10409,FL,4.4,55000,1250.0,119.0,89.0,780
10410,PA,4.6,61000,1340.0,98.0,87.0,507
10411,WI,4.2,60000,1430.0,106.0,93.0,493
10412,MI,5.6,57000,1420.0,92.0,83.0,906
10413,WI,4.2,60000,1260.0,111.0,99.0,385
10414,CA,5.8,75000,1990.0,158.0,128.0,736
10415,GA,4.1,58000,1250.0,104.0,83.0,504
10416,CA,5.8,75000,1590.0,162.0,132.0,975
10417,MO,4.1,55000,1300.0,98.0,67.0,745
10418,MO,4.0,55000,1400.0,98.0,83.0,269
10419,PA,4.3,61000,1460.0,90.0,82.0,568
10420,PA,4.9,61000,1360.0,87.0,72.0,883
10421,TX,4.1,61000,1550.0,101.0,87.0,648
10422,MA,4.3,81000,1770.0,146.0,116.0,779
10423,IL,4.9,65000,1490.0,99.0,83.0,297
10424,WI,4.6,60000,1470.0,91.0,71.0,780
10425,TX,4.3,61000,1600.0,107.0,75.0,510
10426,NY,5.4,72000,1770.0,147.0,117.0,207
10427,CA,5.5,75000,1850.0,156.0,116.0,499
10428,NC,4.1,54000,1390.0,114.0,90.0,800
10429,MO,3.9,55000,1610.0,99.0,84.0,130
10430,TN,3.9,53000,1190.0,106.0,83.0,357
10431,TX,4.0,61000,1630.0,114.0,97.0,185
10432,MI,5.4,57000,1380.0,90.0,75.0,878
10433,NY,4.8,72000,1660.0,150.0,116.0,531
10434,IL,5.5,65000,1410.0,94.0,79.0,712
10435,CA,5.9,75000,1520.0,160.0,130.0,875
10436,MD,4.3,84000,1840.0,132.0,110.0,753
10437,NY,5.0,72000,1640.0,135.0,106.0,351
10438,PA,4.8,61000,1650.0,99.0,91.0,138
10439,CA,5.1,75000,1770.0,168.0,124.0,187
10440,TX,4.4,61000,1450.0,113.0,98.0,215
10441,CA,5.5,75000,1680.0,162.0,134.0,748
10442,TX,3.8,61000,1430.0,102.0,91.0,299
10443,VA,4.3,74000,1770.0,123.0,103.0,574
10444,MI,5.2,57000,1300.0,98.0,84.0,670
10445,FL,5.3,55000,1510.0,109.0,99.0,278
10446,CA,5.5,75000,1550.0,156.0,127.0,556
10447,NC,4.4,54000,1340.0,108.0,88.0,820
10448,TX,4.3,61000,1630.0,107.0,83.0,411
10449,IN,4.7,55000,1270.0,93.0,82.0,164
10450,MI,5.6,57000,1470.0,87.0,70.0,182
10451,WI,4.1,60000,1400.0,100.0,86.0,995
10452,AZ,5.2,58000,1230.0,114.0,88.0,128
10453,FL,5.2,55000,1310.0,124.0,97.0,533
10454,NC,4.5,54000,1150.0,107.0,83.0,229
10455,MI,5.3,57000,1260.0,88.0,82.0,583
10456,NY,5.2,72000,1500.0,135.0,116.0,479
10457,NY,5.1,72000,1820.0,144.0,111.0,841
10458,AZ,4.6,58000,1500.0,107.0,91.0,930
10459,NY,5.8,72000,1620.0,144.0,115.0,207
10460,MD,4.2,84000,1940.0,136.0,110.0,922
10461,CA,5.9,75000,1830.0,163.0,141.0,992
10462,PA,4.8,61000,1430.0,92.0,79.0,466
10463,FL,4.9,55000,1120.0,115.0,85.0,897
10464,NY,4.9,72000,1510.0,136.0,109.0,948
10465,NY,5.0,72000,1790.0,138.0,116.0,710
10466,NC,3.9,54000,1390.0,110.0,90.0,505
10467,TX,4.5,61000,1330.0,103.0,87.0,627
10468,MI,5.8,57000,1550.0,93.0,90.0,537
10469,NJ,5.0,82000,1810.0,129.0,112.0,892
10470,NC,4.0,54000,1130.0,101.0,84.0,198
10471,NY,5.0,72000,1600.0,145.0,112.0,980
10472,IN,3.9,55000,1210.0,95.0,78.0,587
10473,MA,4.0,81000,1890.0,151.0,130.0,733
10474,MA,4.4,81000,1840.0,152.0,118.0,294
10475,TN,3.9,53000,1380.0,102.0,86.0,810
10476,AZ,4.6,58000,1300.0,112.0,91.0,735
10477,MO,3.4,55000,1490.0,94.0,77.0,210
10478,CA,5.3,75000,1840.0,163.0,131.0,407
10479,MI,5.3,57000,1290.0,99.0,83.0,931
10480,WI,4.1,60000,1730.0,94.0,76.0,384
10481,OH,5.0,56000,1350.0,89.0,79.0,987
10482,FL,5.0,55000,1470.0,113.0,92.0,522
10483,IL,5.0,65000,1780.0,93.0,87.0,777
10484,WI,3.7,60000,1330.0,94.0,87.0,657
10485,TX,4.1,61000,1400.0,96.0,75.0,514
10486,NY,5.1,72000,1850.0,144.0,114.0,940
10487,TX,4.0,61000,1670.0,104.0,89.0,199
10488,TX,4.3,61000,1370.0,101.0,95.0,445
10489,MD,4.2,84000,2030.0,133.0,114.0,864
10490,FL,4.6,55000,1320.0,122.0,95.0,603
10491,WA,4.6,78000,1810.0,140.0,114.0,709
10492,TN,3.9,53000,1090.0,106.0,82.0,940
10493,GA,4.1,58000,1370.0,109.0,84.0,414
10494,VA,3.8,74000,1580.0,125.0,104.0,860
